Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;54,00;462,86;594,00;0,00;61,71;162,00;2,70;56,70;126,90;193,26;85,26;88,11;36,95;38,00;92,00;14,00;6,00;11,00;3,00;5,00;3,00;39,00;10,00;34,00;6,00;2,00;11,00;1,00;2,00;5,00;1,00;1,00;0,00;5,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00;1,00;0,00
2019-01-13;56,00;364,00;504,00;0,00;49,00;154,67;2,67;56,00;138,67;170,80;92,40;100,80;44,80;30,90;73,38;9,66;5,79;13,00;2,00;8,00;3,00;40,00;10,00;35,00;5,00;2,00;10,00;0,50;2,00;3,00;0,50;1,00;0,00;7,00;0,50;0,50;0,00;0,00;0,50;1,00;0,50;0,50;0,00
2019-01-20;52,00;364,00;460,57;0,00;59,43;117,00;2,60;31,20;124,80;169,68;68,42;79,37;35,58;26,96;73,19;9,63;5,78;12,00;2,00;8,00;3,00;34,00;11,00;34,00;8,00;4,00;8,00;0,00;1,00;4,00;0,00;0,50;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00
2019-01-27;50,00;314,29;428,57;0,00;57,14;142,11;2,63;26,32;107,89;150,00;66,67;86,11;41,67;24,00;66,00;10,00;4,00;8,00;2,00;5,00;3,00;28,00;7,00;30,00;8,00;2,00;9,00;0,50;1,00;5,00;1,00;1,00;0,00;5,00;0,50;2,00;1,00;0,00;0,00;0,00;0,50;1,00;0,50
2019-02-03;51,00;335,14;415,29;0,00;51,00;115,42;2,68;32,21;120,79;141,67;73,67;85,00;39,67;29,42;58,85;13,73;7,85;7,00;2,00;6,00;1,00;37,00;5,00;31,00;8,00;2,00;7,00;0,00;2,00;5,00;2,00;1,00;0,00;4,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00;1,00;0,00
2019-02-10;51,00;313,29;429,86;0,00;51,00;99,32;2,68;29,53;107,37;133,17;70,83;85,00;34,00;25,50;54,92;9,81;3,92;8,00;1,00;4,00;2,00;33,00;11,00;32,00;8,00;3,00;10,00;0,00;1,00;3,00;1,00;0,00;0,00;6,00;0,50;1,00;0,00;1,00;0,50;0,00;0,50;0,50;0,00
2019-02-17;54,00;330,75;432,00;0,00;54,00;97,71;2,57;23,14;108,00;140,40;62,10;83,70;37,80;32,79;48,21;15,43;7,71;11,00;2,00;5,00;4,00;37,00;11,00;29,00;7,00;2,00;6,00;0,00;0,50;3,00;2,00;0,50;0,50;6,00;0,50;0,50;1,00;0,50;0,00;0,50;1,00;1,00;0,00
2019-02-24;53,00;340,71;484,57;0,00;45,43;119,25;2,65;29,15;113,95;175,74;64,16;83,68;33,47;27,48;49,07;13,74;5,89;9,00;3,00;6,00;2,00;33,00;10,00;33,00;4,00;1,00;8,00;0,50;2,00;4,00;1,00;1,00;0,50;6,00;1,00;1,00;0,50;0,00;0,00;0,50;0,00;0,50;0,00
2019-03-03;57,00;327,75;413,25;0,00;49,88;108,82;2,59;23,32;103,64;141,14;70,57;89,57;46,14;25,55;51,10;13,76;5,90;9,00;4,00;7,00;2,00;40,00;12,00;33,00;7,00;2,00;6,00;0,00;0,50;5,00;1,00;0,00;1,00;3,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-03-10;64,00;341,33;426,67;0,00;49,78;109,33;2,67;32,00;106,67;139,13;66,78;91,83;38,96;29,09;56,24;15,52;5,82;10,00;1,00;4,00;2,00;37,00;15,00;34,00;7,00;0,50;9,00;0,50;1,00;3,00;1,00;0,50;0,50;5,00;0,50;1,00;0,50;0,00;0,50;0,50;0,00;1,00;0,00
2019-03-17;60,00;427,50;487,50;0,00;45,00;99,13;2,61;36,52;117,39;165,71;88,57;100,00;48,57;34,00;64,00;12,00;8,00;11,00;2,00;5,00;2,00;38,00;8,00;40,00;9,00;3,00;11,00;0,50;2,00;4,00;2,00;1,00;1,00;5,00;0,50;0,50;1,00;0,00;0,00;0,00;0,00;0,50;0,50
2019-03-24;60,00;435,00;472,50;0,00;45,00;125,22;1,30;28,70;114,78;158,18;76,36;87,27;35,45;36,77;58,06;9,68;5,81;9,00;3,00;6,00;4,00;38,00;16,00;37,00;11,00;2,00;6,00;0,00;2,00;5,00;1,00;0,00;0,00;5,00;0,00;1,00;0,50;0,00;0,00;0,00;0,50;1,00;0,00
2019-03-31;71,00;468,60;418,90;0,00;42,60;123,59;2,63;36,81;136,74;178,92;96,56;124,96;48,28;45,36;59,17;11,83;7,89;10,00;5,00;6,00;3,00;35,00;15,00;40,00;10,00;2,00;8,00;0,50;1,00;5,00;2,00;0,50;0,00;6,00;2,00;1,00;1,00;0,00;0,50;0,50;0,50;1,00;0,00
2019-04-07;81,00;552,27;463,91;3,68;51,55;151,55;2,61;39,19;164,61;201,10;97,76;114,52;47,48;38,57;69,43;17,36;3,86;11,00;2,00;9,00;3,00;50,00;15,00;48,00;11,00;3,00;8,00;0,00;1,00;5,00;2,00;1,00;0,00;6,00;1,00;2,00;1,00;0,00;0,50;0,00;0,50;0,00;0,00
2019-04-14;68,00;559,11;544,00;0,00;45,33;130,77;2,62;44,46;162,15;220,32;108,80;122,40;54,40;42,74;60,23;13,60;3,89;11,00;2,00;5,00;2,00;40,00;14,00;46,00;10,00;6,00;8,00;0,50;1,00;4,00;2,00;0,00;0,50;5,00;0,50;2,00;1,00;0,00;0,00;0,00;0,50;1,00;0,00
2019-04-21;69,00;524,40;517,50;0,00;41,40;159,23;2,65;42,46;185,77;204,24;102,12;118,68;52,44;49,29;76,89;15,77;7,89;11,00;3,00;8,00;4,00;48,00;12,00;52,00;12,00;3,00;7,00;0,50;1,00;6,00;0,50;1,00;0,00;7,00;0,50;1,00;1,00;0,00;0,00;0,50;0,00;1,00;0,00
