Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;110,00;27,50;27,50;1430,00;27,50;27,50;2750,00;27,50;15,71;31,43;754,29;212,14;913,00;11,00;44,00;1100,00;13,75;18,33;210,83;13,75;3,24;12,94;323,53;45,29;0,00;10,00;10,00;13,00;13,75;3,44;319,69;0,00;189,44;2,04;187,41;0,00;28,00;0,00;0,00;0,00;3,00;0,00
2019-01-13;38,00;38,00;38,00;19,00;798,00;19,00;9,50;1368,00;19,00;7,60;7,60;547,20;197,60;475,00;4,75;28,50;608,00;9,50;9,50;185,25;0,00;6,91;6,91;217,64;27,64;0,00;5,00;0,00;18,00;3,45;0,00;266,00;0,00;143,56;2,11;181,56;0,00;15,00;3,00;3,00;0,00;0,00;0,00
2019-01-20;53,00;53,00;53,00;26,50;689,00;13,25;13,25;927,50;26,50;15,14;7,57;325,57;181,71;360,40;5,30;31,80;530,00;4,42;17,67;172,25;0,00;6,63;13,25;132,50;23,19;3,00;3,00;3,00;10,00;7,07;0,00;265,00;0,00;130,46;0,00;99,88;3,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;70,00;35,00;17,50;35,00;385,00;11,67;11,67;816,67;11,67;7,78;15,56;295,56;241,11;320,00;5,00;40,00;430,00;9,33;14,00;149,33;9,33;3,33;6,67;143,33;30,00;0,00;7,00;2,00;3,00;3,50;3,50;266,00;3,50;144,12;0,00;90,59;2,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;48,00;24,00;24,00;24,00;672,00;12,00;24,00;792,00;24,00;8,00;8,00;280,00;136,00;420,00;6,00;36,00;552,00;8,73;8,73;161,45;4,36;3,43;13,71;130,29;27,43;3,00;5,00;3,00;8,00;3,69;0,00;228,92;0,00;82,00;0,00;86,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;34,00;17,00;34,00;17,00;442,00;17,00;17,00;952,00;17,00;8,50;8,50;340,00;195,50;340,00;11,33;22,67;510,00;9,71;4,86;204,00;4,86;6,80;13,60;122,40;27,20;0,00;0,00;0,00;8,00;6,80;3,40;207,40;3,40;112,00;0,00;94,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;62,00;31,00;31,00;15,50;372,00;15,50;15,50;744,00;0,00;0,00;15,50;170,50;155,00;279,00;5,17;41,33;413,33;4,43;4,43;159,43;0,00;0,00;0,00;91,37;39,16;5,00;3,00;3,00;0,00;14,59;3,65;204,24;3,65;102,00;0,00;100,00;0,00;16,00;0,00;0,00;3,00;0,00;0,00
2019-02-24;29,00;29,00;14,50;14,50;377,00;14,50;14,50;667,00;29,00;14,50;7,25;239,25;159,50;222,33;4,83;19,33;357,67;14,50;4,83;183,67;9,67;0,00;6,44;80,56;12,89;0,00;8,00;3,00;5,00;18,13;0,00;184,88;0,00;107,71;2,07;64,21;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;72,00;36,00;18,00;36,00;360,00;12,00;0,00;624,00;24,00;8,00;16,00;328,00;216,00;318,86;5,14;20,57;380,57;9,00;4,50;180,00;9,00;6,55;13,09;94,91;26,18;0,00;3,00;0,00;15,00;3,60;3,60;198,00;0,00;82,29;0,00;69,94;8,00;21,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;69,00;17,25;34,50;17,25;414,00;11,50;0,00;598,00;23,00;7,67;7,67;299,00;161,00;287,50;0,00;34,50;368,00;9,20;13,80;156,40;0,00;9,86;6,57;72,29;16,43;3,00;0,00;3,00;10,00;3,63;0,00;145,26;0,00;79,15;0,00;71,03;3,00;5,00;0,00;0,00;0,00;3,00;0,00
2019-03-17;48,00;48,00;24,00;24,00;480,00;12,00;0,00;360,00;12,00;8,00;8,00;224,00;128,00;240,00;0,00;24,00;324,00;4,36;0,00;130,91;4,36;3,43;0,00;92,57;6,86;3,00;0,00;0,00;8,00;3,69;0,00;129,23;0,00;96,00;0,00;27,13;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;47,00;23,50;47,00;23,50;470,00;11,75;23,50;305,50;23,50;3,92;0,00;164,50;109,67;129,25;0,00;11,75;293,75;4,70;0,00;70,50;0,00;0,00;6,71;83,93;6,71;0,00;0,00;3,00;13,00;3,62;0,00;130,15;0,00;26,57;0,00;38,83;0,00;5,00;3,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;21,00;21,00;21,00;294,00;0,00;10,50;168,00;10,50;8,40;0,00;134,40;126,00;84,00;5,25;21,00;231,00;0,00;4,67;98,00;0,00;0,00;0,00;71,08;6,46;0,00;0,00;0,00;8,00;0,00;0,00;77,00;0,00;60,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;29,00;14,50;14,50;0,00;174,00;14,50;14,50;174,00;14,50;0,00;7,25;116,00;159,50;67,67;0,00;9,67;183,67;0,00;4,83;82,17;0,00;0,00;0,00;58,00;6,44;0,00;0,00;0,00;5,00;3,63;0,00;76,13;0,00;37,29;0,00;20,71;3,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;23,00;11,50;11,50;11,50;161,00;11,50;11,50;138,00;11,50;3,83;3,83;145,67;130,33;103,50;0,00;23,00;184,00;4,60;0,00;69,00;0,00;0,00;6,57;65,71;3,29;0,00;3,00;0,00;6,00;7,67;3,83;69,00;0,00;50,18;0,00;20,91;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;36,00;18,00;18,00;0,00;180,00;18,00;18,00;180,00;18,00;3,60;3,60;72,00;100,80;72,00;6,00;12,00;192,00;0,00;4,50;45,00;4,50;0,00;3,27;49,09;3,27;0,00;3,00;0,00;8,00;0,00;0,00;61,20;0,00;32,00;2,00;32,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;34,00;17,00;17,00;17,00;170,00;17,00;0,00;204,00;17,00;4,25;0,00;68,00;102,00;68,00;5,67;22,67;204,00;4,86;9,71;87,43;0,00;3,40;0,00;68,00;3,40;0,00;0,00;0,00;3,00;3,78;0,00;75,56;0,00;44,00;0,00;30,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;43,00;21,50;21,50;21,50;129,00;10,75;10,75;150,50;10,75;0,00;0,00;43,00;86,00;75,25;0,00;10,75;193,50;0,00;0,00;34,40;0,00;0,00;3,31;62,85;0,00;0,00;0,00;0,00;0,00;3,58;0,00;60,92;0,00;40,95;2,05;28,67;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;31,00;15,50;15,50;0,00;62,00;15,50;15,50;217,00;15,50;0,00;0,00;54,25;62,00;51,67;5,17;10,33;186,00;0,00;0,00;48,71;0,00;0,00;0,00;44,78;3,44;0,00;3,00;0,00;0,00;0,00;0,00;62,00;0,00;37,20;0,00;20,67;0,00;3,00;5,00;0,00;0,00;0,00;0,00
2019-05-19;36,00;0,00;18,00;18,00;72,00;18,00;18,00;252,00;18,00;3,60;7,20;57,60;86,40;72,00;0,00;12,00;204,00;0,00;4,50;81,00;4,50;0,00;3,27;39,27;6,55;0,00;0,00;3,00;0,00;3,60;3,60;79,20;3,60;36,00;0,00;26,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;37,00;18,50;18,50;0,00;111,00;9,25;9,25;148,00;0,00;0,00;0,00;51,80;88,80;46,25;0,00;9,25;222,00;9,25;4,63;111,00;0,00;3,36;3,36;70,64;3,36;0,00;3,00;3,00;8,00;3,36;0,00;53,82;0,00;59,61;0,00;32,89;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-06-02;59,00;14,75;14,75;14,75;59,00;14,75;14,75;324,50;14,75;3,69;3,69;88,50;88,50;88,50;0,00;9,83;177,00;4,54;0,00;104,38;4,54;0,00;3,28;62,28;3,28;3,00;5,00;0,00;5,00;6,94;3,47;62,47;0,00;26,45;0,00;30,52;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;40,00;20,00;20,00;20,00;80,00;10,00;0,00;200,00;0,00;0,00;0,00;72,00;136,00;110,00;0,00;5,00;310,00;8,89;4,44;80,00;0,00;0,00;3,33;56,67;0,00;0,00;3,00;0,00;3,00;3,64;0,00;105,45;0,00;54,74;0,00;48,42;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;45,00;22,50;22,50;22,50;135,00;0,00;0,00;225,00;0,00;0,00;3,75;90,00;90,00;146,25;0,00;22,50;292,50;9,00;4,50;112,50;4,50;0,00;3,21;83,57;0,00;0,00;0,00;3,00;5,00;3,46;0,00;103,85;0,00;71,59;2,05;36,82;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;53,00;0,00;26,50;26,50;159,00;0,00;0,00;291,50;13,25;3,79;0,00;90,86;98,43;95,40;5,30;5,30;212,00;8,83;0,00;92,75;4,42;3,31;3,31;49,69;3,31;0,00;0,00;3,00;0,00;0,00;0,00;53,00;0,00;32,62;0,00;40,77;0,00;8,00;3,00;0,00;0,00;0,00;0,00
2019-06-30;39,00;19,50;19,50;19,50;156,00;9,75;9,75;234,00;0,00;0,00;0,00;70,20;85,80;48,75;4,88;9,75;214,50;13,00;4,33;60,67;0,00;0,00;0,00;68,25;0,00;0,00;3,00;0,00;0,00;3,55;0,00;63,82;0,00;75,95;0,00;20,53;3,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-07-07;58,00;14,50;29,00;0,00;116,00;14,50;0,00;406,00;14,50;0,00;4,14;124,29;140,86;150,80;0,00;23,20;371,20;4,46;8,92;129,38;8,92;0,00;0,00;116,00;6,82;0,00;0,00;0,00;5,00;3,63;3,63;76,13;0,00;64,21;0,00;43,50;0,00;3,00;5,00;3,00;0,00;0,00;0,00
2019-07-14;46,00;23,00;46,00;23,00;184,00;11,50;11,50;345,00;11,50;0,00;7,67;130,33;122,67;161,00;0,00;11,50;333,50;13,80;4,60;64,40;18,40;0,00;3,29;88,71;3,29;0,00;0,00;0,00;5,00;0,00;0,00;109,69;0,00;56,00;0,00;38,00;0,00;14,00;3,00;0,00;0,00;0,00;0,00
2019-07-21;100,00;66,67;66,67;16,67;133,33;25,00;12,50;350,00;12,50;0,00;7,69;138,46;215,38;188,89;11,11;22,22;255,56;4,55;4,55;68,18;0,00;0,00;3,33;76,67;0,00;0,00;0,00;23,00;0,00;25,00;3,57;139,29;0,00;89,80;0,00;59,18;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;58,00;14,50;14,50;14,50;116,00;14,50;0,00;493,00;14,50;0,00;0,00;132,57;165,71;174,00;11,60;11,60;359,60;0,00;4,46;89,23;0,00;0,00;10,24;92,12;0,00;0,00;0,00;0,00;3,00;3,63;3,63;112,38;0,00;62,14;0,00;43,50;0,00;5,00;5,00;0,00;0,00;0,00;0,00
2019-08-04;61,00;15,25;15,25;15,25;152,50;15,25;15,25;488,00;15,25;0,00;7,63;175,38;144,88;152,50;10,17;20,33;335,50;4,36;4,36;100,21;0,00;0,00;0,00;101,67;3,39;0,00;0,00;3,00;0,00;0,00;0,00;114,82;0,00;67,10;0,00;50,83;0,00;11,00;3,00;3,00;0,00;0,00;0,00
2019-08-11;64,00;16,00;16,00;16,00;192,00;10,67;10,67;405,33;10,67;0,00;8,00;136,00;120,00;160,00;0,00;5,33;362,67;9,14;0,00;105,14;4,57;0,00;6,74;104,42;3,37;3,00;0,00;3,00;3,00;0,00;0,00;120,89;0,00;80,52;2,06;59,87;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;52,00;26,00;26,00;26,00;312,00;13,00;13,00;416,00;0,00;0,00;0,00;148,57;141,14;124,80;10,40;20,80;291,20;4,73;4,73;99,27;4,73;0,00;9,75;68,25;16,25;3,00;0,00;0,00;0,00;14,86;0,00;122,57;0,00;85,28;0,00;64,48;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;53,00;26,50;26,50;26,50;265,00;13,25;13,25;344,50;0,00;0,00;0,00;128,71;113,57;95,40;0,00;10,60;296,80;4,42;8,83;83,92;4,42;0,00;0,00;99,38;6,63;0,00;3,00;0,00;0,00;3,53;0,00;81,27;0,00;87,65;0,00;32,62;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;61,00;15,25;15,25;15,25;152,50;0,00;15,25;427,00;15,25;7,63;0,00;99,13;137,25;111,83;0,00;10,17;284,67;0,00;4,36;87,14;0,00;0,00;0,00;98,28;3,39;0,00;3,00;0,00;3,00;3,59;3,59;86,12;0,00;61,00;0,00;42,70;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;37,00;37,00;18,50;18,50;185,00;18,50;18,50;518,00;18,50;0,00;0,00;125,80;140,60;160,33;6,17;12,33;407,00;13,88;9,25;87,88;4,63;0,00;3,36;141,27;6,73;0,00;3,00;0,00;8,00;3,70;0,00;107,30;0,00;61,67;0,00;61,67;3,00;8,00;3,00;3,00;0,00;0,00;0,00
2019-09-15;48,00;24,00;48,00;24,00;240,00;12,00;12,00;336,00;12,00;4,00;8,00;120,00;120,00;108,00;0,00;12,00;396,00;4,80;0,00;110,40;0,00;0,00;6,86;102,86;3,43;0,00;3,00;0,00;3,00;3,69;3,69;132,92;0,00;62,61;0,00;20,87;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-22;51,00;25,50;25,50;25,50;255,00;12,75;12,75;357,00;12,75;0,00;3,64;94,71;102,00;102,00;5,10;10,20;408,00;9,27;4,64;78,82;0,00;0,00;3,40;105,40;13,60;3,00;0,00;0,00;0,00;3,64;7,29;123,86;0,00;61,20;2,04;42,84;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;44,00;22,00;22,00;22,00;220,00;11,00;11,00;264,00;0,00;7,33;0,00;117,33;124,67;88,00;0,00;11,00;341,00;0,00;4,40;61,60;4,40;0,00;3,38;111,69;6,77;3,00;0,00;0,00;3,00;3,67;0,00;124,67;0,00;68,00;0,00;44,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;13,00;13,00;26,00;13,00;156,00;6,50;0,00;143,00;6,50;3,25;3,25;97,50;84,50;182,00;6,50;13,00;338,00;13,00;4,33;104,00;4,33;0,00;6,50;78,00;9,75;3,00;3,00;0,00;5,00;6,50;0,00;230,75;0,00;75,83;0,00;54,17;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;28,00;14,00;28,00;14,00;224,00;14,00;14,00;364,00;14,00;7,00;7,00;112,00;91,00;102,67;0,00;18,67;261,33;4,67;0,00;107,33;0,00;0,00;10,50;87,50;7,00;3,00;8,00;0,00;8,00;7,00;3,50;140,00;0,00;60,00;0,00;44,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;22,00;11,00;11,00;11,00;132,00;11,00;11,00;286,00;11,00;3,67;7,33;132,00;102,67;176,00;11,00;11,00;286,00;0,00;8,80;70,40;0,00;0,00;0,00;59,71;31,43;0,00;0,00;7,00;5,00;7,33;0,00;124,67;0,00;90,00;2,00;34,00;0,00;5,00;0,00;0,00;0,00;2,00;0,00
2019-10-27;30,00;30,00;15,00;15,00;210,00;15,00;30,00;360,00;15,00;0,00;3,75;142,50;112,50;110,00;0,00;10,00;260,00;4,29;4,29;107,14;0,00;0,00;3,33;63,33;6,67;0,00;0,00;2,00;2,00;3,75;3,75;157,50;0,00;60,00;0,00;34,00;5,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;17,00;17,00;17,00;17,00;306,00;8,50;8,50;238,00;8,50;8,50;0,00;153,00;144,50;110,50;4,25;17,00;246,50;4,25;0,00;102,00;4,25;0,00;3,40;78,20;6,80;0,00;0,00;0,00;12,00;6,80;0,00;115,60;0,00;87,13;0,00;59,50;0,00;10,00;0,00;2,00;0,00;0,00;0,00
2019-11-10;38,00;38,00;19,00;19,00;380,00;9,50;9,50;361,00;9,50;7,60;0,00;220,40;121,60;218,50;0,00;38,00;275,50;9,50;9,50;118,75;4,75;3,17;9,50;98,17;44,33;0,00;0,00;5,00;12,00;3,45;3,45;145,09;0,00;88,00;0,00;40,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2019-11-17;24,00;24,00;12,00;12,00;264,00;12,00;0,00;456,00;12,00;4,00;4,00;216,00;160,00;216,00;6,00;24,00;396,00;4,80;4,80;129,60;4,80;6,86;6,86;96,00;37,71;0,00;0,00;0,00;5,00;6,86;3,43;137,14;3,43;94,00;0,00;58,00;2,00;5,00;2,00;0,00;0,00;0,00;0,00
2019-11-24;39,00;39,00;19,50;19,50;507,00;9,75;9,75;292,50;9,75;7,80;3,90;241,80;132,60;136,50;4,88;4,88;253,50;9,75;9,75;112,13;0,00;0,00;3,25;61,75;16,25;0,00;2,00;2,00;0,00;3,55;10,64;159,55;0,00;78,00;0,00;53,37;5,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;27,00;27,00;27,00;13,50;351,00;13,50;13,50;621,00;13,50;9,00;4,50;297,00;153,00;216,00;9,00;18,00;270,00;4,50;0,00;135,00;4,50;0,00;0,00;87,75;20,25;0,00;0,00;7,00;7,00;6,75;0,00;151,88;0,00;83,08;0,00;62,31;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-12-08;41,00;41,00;41,00;20,50;574,00;20,50;10,25;512,50;10,25;8,20;16,40;287,00;164,00;256,25;0,00;10,25;328,00;9,11;9,11;164,00;13,67;3,42;3,42;109,33;27,33;0,00;7,00;2,00;7,00;20,50;3,42;184,50;3,42;69,70;0,00;49,20;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;39,00;39,00;19,50;19,50;507,00;19,50;9,75;585,00;19,50;7,80;7,80;265,20;171,60;253,50;4,88;29,25;370,50;4,33;8,67;234,00;8,67;0,00;16,25;126,75;29,25;2,00;7,00;5,00;10,00;49,64;3,55;216,27;0,00;110,84;22,58;82,11;0,00;20,00;2,00;2,00;0,00;0,00;3,00
2019-12-22;73,00;36,50;36,50;18,25;693,50;12,17;12,17;1119,33;24,33;16,22;8,11;527,22;275,78;573,57;10,43;31,29;688,29;4,56;18,25;191,63;4,56;0,00;9,95;189,14;23,23;6,00;0,00;6,00;17,00;6,95;3,48;323,29;0,00;202,78;8,11;178,44;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;63,00;15,75;31,50;15,75;535,50;10,50;10,50;777,00;21,00;15,75;15,75;535,50;267,75;462,00;0,00;21,00;640,50;9,00;4,50;229,50;4,50;0,00;19,89;185,68;23,21;0,00;13,00;0,00;16,00;14,00;7,00;339,50;0,00;176,81;0,00;154,45;3,00;13,00;0,00;0,00;3,00;0,00;3,00
2020-01-05;42,00;42,00;42,00;21,00;630,00;21,00;10,50;819,00;10,50;8,40;16,80;403,20;210,00;462,00;0,00;31,50;630,00;9,33;9,33;168,00;4,67;0,00;9,69;168,00;29,08;0,00;2,00;2,00;12,00;3,50;3,50;220,50;0,00;132,00;0,00;128,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;50,00;50,00;25,00;25,00;750,00;25,00;12,50;925,00;25,00;16,67;25,00;300,00;200,00;410,00;5,00;30,00;510,00;9,09;4,55;209,09;2,27;3,33;6,67;156,67;16,67;0,00;2,00;0,00;9,00;7,14;3,57;235,71;0,00;147,92;0,00;81,25;36,00;14,00;2,00;0,00;0,00;0,00;0,00
2020-01-19;56,00;56,00;28,00;56,00;672,00;28,00;14,00;980,00;28,00;16,00;8,00;320,00;176,00;369,60;5,60;22,40;526,40;9,33;14,00;252,00;0,00;0,00;3,29;161,41;19,76;0,00;2,00;0,00;9,00;17,50;0,00;325,50;0,00;136,89;0,00;109,93;7,00;9,00;2,00;0,00;0,00;0,00;0,00
2020-01-26;48,00;48,00;24,00;24,00;672,00;24,00;12,00;864,00;12,00;8,00;16,00;264,00;160,00;316,80;4,80;28,80;422,40;4,36;13,09;122,18;8,73;0,00;3,20;156,80;25,60;2,00;0,00;2,00;11,00;10,29;3,43;236,57;0,00;146,00;2,00;144,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00
2020-02-02;92,00;46,00;23,00;23,00;690,00;11,50;11,50;805,00;23,00;7,67;7,67;368,00;168,67;368,00;0,00;30,67;480,44;9,20;4,60;207,00;4,60;0,00;9,86;118,29;26,29;0,00;2,00;2,00;9,00;14,15;7,08;261,85;0,00;116,53;0,00;143,11;5,00;16,00;2,00;0,00;0,00;0,00;0,00
2020-02-09;85,00;21,25;21,25;42,50;510,00;14,17;28,33;1105,00;14,17;15,45;7,73;270,45;162,27;297,50;10,63;21,25;393,13;8,95;4,47;147,63;4,47;3,27;9,81;114,42;16,35;4,00;2,00;4,00;4,00;7,08;0,00;162,92;3,54;113,33;4,05;76,90;0,00;13,00;4,00;2,00;0,00;0,00;2,00
2020-02-16;63,00;31,50;31,50;15,75;315,00;10,50;10,50;525,00;21,00;7,88;7,88;259,88;165,38;283,50;0,00;31,50;409,50;4,50;13,50;144,00;4,50;3,32;9,95;132,63;29,84;2,00;2,00;0,00;9,00;7,00;3,50;168,00;0,00;119,90;0,00;67,06;5,00;14,00;0,00;2,00;0,00;0,00;2,00
2020-02-23;29,00;29,00;14,50;14,50;290,00;29,00;14,50;870,00;14,50;14,50;7,25;224,75;159,50;261,00;4,83;29,00;348,00;4,83;2,42;159,50;2,42;0,00;9,67;90,22;32,22;0,00;2,00;0,00;2,00;10,88;7,25;203,00;0,00;113,93;2,07;87,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;22,00;22,00;11,00;22,00;308,00;22,00;11,00;594,00;22,00;7,33;7,33;271,33;183,33;308,00;5,50;11,00;528,00;4,40;4,40;149,60;2,20;3,14;9,43;94,29;28,29;0,00;4,00;2,00;16,00;3,67;0,00;172,33;3,67;92,00;2,00;62,00;2,00;11,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;49,00;49,00;49,00;49,00;4900,00;24,50;24,50;1029,00;24,50;8,17;16,33;816,67;277,67;313,60;4,90;29,40;852,60;8,91;4,45;222,73;4,45;3,27;3,27;120,87;81,67;4,00;6,00;4,00;34,00;3,50;3,50;199,50;3,50;112,29;0,00;71,46;2,00;8,00;2,00;0,00;0,00;2,00;0,00
2020-03-15;15,00;15,00;15,00;15,00;1260,00;7,50;7,50;135,00;7,50;3,75;7,50;187,50;105,00;285,00;7,50;15,00;465,00;2,50;5,00;60,00;0,00;0,00;0,00;52,50;3,75;0,00;0,00;0,00;8,00;7,50;3,75;56,25;3,75;30,00;2,14;17,14;0,00;2,00;0,00;0,00;0,00;0,00;2,00
2020-03-22;10,00;10,00;10,00;10,00;560,00;0,00;10,00;80,00;10,00;0,00;0,00;70,00;90,00;60,00;5,00;10,00;200,00;0,00;0,00;65,00;0,00;0,00;0,00;20,00;3,33;0,00;0,00;0,00;2,00;3,33;0,00;13,33;0,00;12,00;0,00;16,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;12,00;12,00;12,00;12,00;480,00;12,00;0,00;72,00;0,00;6,00;0,00;42,00;60,00;72,00;0,00;12,00;108,00;4,00;0,00;64,00;0,00;0,00;3,00;12,00;0,00;0,00;2,00;0,00;0,00;4,00;4,00;40,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2020-04-05;14,00;14,00;14,00;14,00;392,00;0,00;0,00;42,00;0,00;3,50;3,50;35,00;42,00;56,00;0,00;14,00;98,00;0,00;0,00;107,33;0,00;0,00;3,50;10,50;3,50;0,00;0,00;0,00;0,00;0,00;0,00;28,00;0,00;12,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;11,00;11,00;11,00;176,00;11,00;11,00;66,00;11,00;11,00;0,00;55,00;99,00;22,00;5,50;5,50;66,00;2,75;0,00;71,50;0,00;0,00;0,00;18,33;0,00;0,00;0,00;0,00;2,00;0,00;0,00;22,00;0,00;8,80;0,00;4,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;13,00;0,00;13,00;0,00;182,00;6,50;0,00;39,00;6,50;0,00;0,00;19,50;45,50;39,00;0,00;13,00;91,00;0,00;0,00;65,00;0,00;3,25;0,00;3,25;0,00;0,00;2,00;0,00;0,00;0,00;0,00;19,50;0,00;17,33;0,00;15,17;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;14,00;0,00;14,00;0,00;112,00;7,00;7,00;42,00;0,00;3,50;0,00;21,00;70,00;56,00;7,00;7,00;84,00;2,33;9,33;60,67;2,33;0,00;3,50;17,50;3,50;0,00;0,00;0,00;2,00;0,00;3,50;14,00;0,00;14,00;0,00;18,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;13,00;13,00;13,00;13,00;104,00;6,50;6,50;65,00;6,50;0,00;0,00;26,00;52,00;39,00;0,00;13,00;104,00;4,33;0,00;56,33;0,00;0,00;3,25;26,00;0,00;0,00;0,00;0,00;2,00;3,25;0,00;26,00;0,00;13,00;0,00;4,33;0,00;4,00;0,00;2,00;0,00;0,00;0,00
2020-05-10;21,00;10,50;10,50;0,00;126,00;10,50;10,50;105,00;10,50;7,00;0,00;28,00;63,00;63,00;5,25;10,50;94,50;0,00;0,00;54,60;0,00;0,00;0,00;21,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;52,50;0,00;21,00;0,00;16,80;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;25,00;12,50;12,50;12,50;75,00;12,50;0,00;125,00;0,00;0,00;4,17;41,67;75,00;50,00;0,00;12,50;187,50;2,50;0,00;65,00;0,00;0,00;0,00;57,14;3,57;0,00;0,00;0,00;2,00;3,57;0,00;42,86;0,00;22,92;0,00;16,67;0,00;4,00;0,00;0,00;0,00;0,00;0,00
