Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;23,00;276,00;9,20;2,30;23,00;43,13;15,81;25,88;77,63;72,14;11,50;26,14;8,36;17,00;34,00;4,00;1,00;1,00;2,00;4,00;2,00;10,00;3,00;10,00;3,00;0,50;1,00;0,50;0,50;1,00;2,00;2,00;0,00;1,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;22,00;346,50;11,00;0,00;33,00;47,14;25,14;22,00;86,43;77,00;11,00;25,30;7,70;21,00;30,00;4,00;1,00;3,00;3,00;2,00;1,00;10,00;3,00;15,00;4,00;0,50;1,00;0,50;1,00;1,00;2,00;1,00;0,00;1,00;0,50;1,00;1,00;0,00;0,50;0,50;0,50;0,00;0,00
2019-01-20;22,00;264,00;8,80;0,00;22,00;38,13;16,13;16,13;70,40;63,90;8,38;24,10;11,52;22,00;28,00;3,00;1,00;3,00;1,00;3,00;2,00;8,00;4,00;10,00;2,00;0,50;1,00;0,00;1,00;1,00;1,00;1,00;0,50;0,50;0,50;0,50;1,00;0,50;0,00;0,50;0,00;0,00;0,00
2019-01-27;18,00;270,00;4,50;0,00;27,00;40,50;21,00;16,50;87,00;54,00;9,53;22,24;10,59;16,00;28,00;3,00;4,00;2,00;1,00;3,00;1,00;11,00;4,00;11,00;2,00;0,50;0,50;0,50;0,50;2,00;2,00;2,00;0,50;1,00;0,00;1,00;1,00;0,50;0,00;0,00;1,00;0,00;0,00
2019-02-03;14,00;284,67;4,67;0,00;28,00;42,00;15,56;12,44;65,33;47,38;9,69;24,77;9,69;16,00;24,00;4,00;2,00;2,00;1,00;3,00;1,00;10,00;3,00;10,00;1,00;0,50;1,00;0,50;1,00;1,00;1,00;1,00;0,00;1,00;0,00;0,50;1,00;0,50;0,00;0,50;0,00;0,50;0,00
2019-02-10;16,00;309,33;5,33;2,67;26,67;34,91;17,45;11,64;69,82;46,93;11,73;25,60;9,60;17,00;22,00;4,00;1,00;2,00;1,00;3,00;2,00;10,00;3,00;9,00;3,00;0,00;1,00;0,50;0,50;2,00;2,00;2,00;0,50;1,00;1,00;0,50;0,50;0,50;0,00;0,00;0,00;0,50;0,00
2019-02-17;18,00;243,00;4,50;0,00;27,00;33,00;15,00;12,00;57,00;51,88;8,47;24,35;6,35;17,00;26,00;5,00;1,00;3,00;1,00;3,00;1,00;7,00;4,00;9,00;3,00;0,50;1,00;1,00;0,50;1,00;1,00;1,00;1,00;0,50;0,00;0,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00
2019-02-24;16,00;309,33;10,67;0,00;26,67;32,00;13,09;8,73;55,27;43,00;6,00;21,00;7,00;17,00;23,00;3,00;1,00;2,00;2,00;3,00;2,00;7,00;4,00;10,00;2,00;0,00;0,00;0,50;0,50;1,00;1,00;1,00;0,00;0,50;0,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00;0,00
2019-03-03;17,00;267,75;4,25;0,00;21,25;31,17;15,58;9,92;63,75;46,00;5,00;25,00;8,00;17,00;27,00;3,00;1,00;2,00;1,00;4,00;2,00;12,00;4,00;13,00;3,00;0,50;1,00;0,50;0,50;1,00;1,00;0,00;1,00;1,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-03-10;20,00;310,00;5,00;0,00;20,00;38,46;20,00;13,85;61,54;50,53;6,32;25,26;8,42;15,00;25,00;4,00;2,00;1,00;3,00;4,00;2,00;11,00;4,00;11,00;3,00;0,00;0,50;1,00;0,50;2,00;1,00;1,00;0,50;1,00;0,00;0,50;1,00;0,50;0,00;0,00;0,50;0,00;0,00
2019-03-17;22,00;335,50;5,50;0,00;33,00;39,60;16,13;13,20;64,53;45,05;8,38;26,19;8,38;17,00;25,00;5,00;0,50;3,00;0,50;2,00;1,00;13,00;3,00;11,00;4,00;0,00;0,50;0,00;0,00;1,00;2,00;1,00;0,50;1,00;0,50;0,50;0,50;0,00;0,50;0,00;0,00;0,00;0,00
2019-03-24;18,00;252,00;4,50;0,00;18,00;43,50;16,50;18,00;66,00;47,65;5,29;24,35;9,53;22,00;23,00;3,00;3,00;2,00;3,00;5,00;2,00;10,00;5,00;9,00;3,00;0,00;1,00;0,50;0,50;2,00;2,00;2,00;0,50;2,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;24,00;307,20;4,80;0,00;24,00;42,00;15,00;12,00;64,50;46,91;5,45;22,91;8,73;24,00;27,00;3,00;2,00;3,00;2,00;3,00;2,00;11,00;3,00;13,00;2,00;0,00;1,00;0,50;1,00;3,00;2,00;1,00;0,50;1,00;0,00;0,00;0,50;0,50;1,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;323,75;4,63;0,00;18,50;44,40;19,24;16,28;88,80;42,29;7,40;26,43;7,40;20,00;26,00;4,00;2,00;3,00;2,00;4,00;2,00;15,00;5,00;11,00;3,00;0,50;0,50;0,50;0,00;2,00;1,00;1,00;0,50;1,00;0,50;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;35,00;355,00;10,00;0,00;25,00;40,83;23,33;16,04;78,75;51,47;7,21;23,68;7,21;25,00;25,00;3,00;1,00;4,00;3,00;6,00;3,00;15,00;5,00;12,00;5,00;0,50;0,50;0,00;1,00;1,00;1,00;1,00;0,00;2,00;0,50;1,00;0,50;0,50;0,50;0,50;0,00;0,00;0,00
2019-04-21;35,00;360,00;5,00;2,50;15,00;48,13;18,96;13,13;86,04;54,09;7,42;23,33;6,36;26,00;28,00;6,00;3,00;5,00;3,00;5,00;1,00;12,00;5,00;15,00;4,00;0,00;0,50;0,50;0,50;2,00;2,00;2,00;0,50;1,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-04-28;30,00;375,00;5,00;0,00;15,00;43,50;24,00;12,00;96,00;58,93;7,50;25,71;8,57;33,00;32,00;5,00;2,00;4,00;3,00;3,00;2,00;11,00;4,00;15,00;3,00;0,00;1,00;0,00;0,50;3,00;3,00;1,00;0,50;0,50;0,00;0,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00
2019-05-05;27,00;369,00;4,50;0,00;18,00;49,50;19,50;18,00;120,00;52,96;7,27;22,85;9,35;30,00;26,00;4,00;3,00;3,00;3,00;4,00;2,00;11,00;3,00;17,00;4,00;0,50;0,50;0,50;0,50;1,00;3,00;1,00;0,00;1,00;0,50;0,50;0,50;0,50;0,50;0,00;0,00;0,50;0,00
2019-05-12;32,00;356,57;9,14;0,00;18,29;64,00;20,36;18,91;113,45;64,00;6,19;27,87;7,23;30,00;34,00;5,00;3,00;5,00;3,00;5,00;3,00;11,00;6,00;16,00;5,00;0,00;0,50;0,50;0,50;2,00;2,00;1,00;0,50;1,00;0,00;0,50;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-05-19;29,00;386,67;4,83;0,00;19,33;74,79;24,42;27,47;100,74;52,63;6,44;21,48;7,52;38,00;31,00;5,00;2,00;4,00;3,00;5,00;2,00;11,00;8,00;21,00;3,00;0,00;1,00;0,50;0,00;3,00;2,00;1,00;0,50;1,00;0,50;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-05-26;35,00;425,00;5,00;2,50;20,00;70,00;22,83;30,43;105,00;71,06;9,55;24,39;7,42;40,00;35,00;6,00;2,00;5,00;4,00;4,00;3,00;11,00;7,00;15,00;4,00;0,00;0,50;0,50;1,00;4,00;2,00;1,00;0,50;3,00;0,50;0,50;1,00;0,50;0,50;0,00;0,00;0,00;0,00
